algo,n,rep,hauteur,prof_feuilles,taille_gauche,time_ms
ABR,500,2,23,11.9042,175,0.0470
Remy,500,3,43,21.8503,450,1.1001
ABR,500,3,18,11.0439,119,0.0498
Remy,500,4,64,31.2176,0,1.6980
ABR,500,4,18,11.6447,364,0.0570
Remy,500,5,45,21.0080,498,1.3261
ABR,500,5,16,10.6068,262,0.0510
Remy,500,6,47,26.7206,498,3.0510
ABR,500,6,19,12.0279,493,0.2251
Remy,500,7,35,17.5110,499,3.3858
ABR,500,7,17,11.3333,104,0.0751
Remy,500,8,40,21.0798,494,1.6711
ABR,500,8,19,11.3693,382,0.1018
Remy,500,9,46,23.0719,490,1.9290
ABR,500,9,19,11.4092,121,0.0639
Remy,500,10,37,20.1078,499,1.4830
ABR,500,10,20,12.3533,194,0.0510
Remy,500,11,40,20.0100,496,1.0831
ABR,500,11,20,12.2754,480,0.0410
Remy,500,12,43,23.5908,499,1.0121
ABR,500,12,17,10.4910,112,0.0360
Remy,500,13,38,21.7665,0,1.1430
ABR,500,13,20,11.5429,348,0.0479
Remy,500,14,52,26.2515,0,1.0538
ABR,500,14,20,11.5988,137,0.0360
Remy,500,15,43,23.7745,499,2.3890
ABR,500,15,19,11.9381,171,0.2470
Remy,500,16,52,25.6487,2,1.9882
ABR,500,16,19,11.0379,143,0.1090
Remy,500,17,42,22.3134,477,2.5342
ABR,500,17,17,10.9701,159,0.0429
Remy,500,18,48,24.9341,7,1.0741
ABR,500,18,16,10.8343,252,0.0420
Remy,500,19,55,28.0459,7,1.0478
ABR,500,19,25,12.0858,230,0.0420
Remy,500,20,49,25.9501,0,1.0831
ABR,500,20,21,12.1597,7,0.0420
Remy,500,21,44,22.7784,499,1.0490
ABR,500,21,18,10.8862,275,0.0360
Remy,500,22,46,23.0359,0,1.0560
ABR,500,22,17,10.9880,360,0.0420
Remy,500,23,48,27.5868,0,1.6949
ABR,500,23,20,11.6387,54,0.0560
Remy,500,24,43,20.5050,455,2.1501
ABR,500,24,17,11.2415,439,0.0908
Remy,500,25,48,26.0379,1,1.4429
ABR,500,25,22,11.7725,360,0.0520
Remy,500,26,44,20.9581,13,1.1570
ABR,500,26,20,11.7804,97,0.0451
Remy,500,27,50,25.5429,498,1.1671
ABR,500,27,20,12.3473,9,0.0470
Remy,500,28,32,19.7186,499,1.2970
ABR,500,28,18,11.1337,144,0.0470
Remy,500,29,43,20.9341,1,1.1790
ABR,500,29,19,11.8922,23,0.0470
Remy,500,30,50,26.5609,2,1.0982
ABR,500,30,20,12.4691,40,0.0360
Remy,500,31,39,23.5170,465,1.0190
ABR,500,31,18,11.4631,362,0.0401
Remy,500,32,42,21.0639,3,1.1129
ABR,500,32,21,11.4192,158,0.0420
Remy,500,33,52,21.3952,3,1.3750
ABR,500,33,20,11.7824,52,0.0501
Remy,500,34,42,24.3114,9,1.2631
ABR,500,34,20,11.8343,265,0.0441
Remy,500,35,47,24.5948,3,1.1780
ABR,500,35,19,11.3972,192,0.0420
Remy,500,36,40,18.9261,469,1.5621
ABR,500,36,16,10.5489,271,0.0610
Remy,500,37,35,20.6148,499,1.7281
ABR,500,37,18,11.7824,452,0.1049
Remy,500,38,41,22.5569,498,1.4470
ABR,500,38,21,11.8882,286,0.0501
Remy,500,39,61,30.4012,2,1.5700
ABR,500,39,19,10.7066,184,0.2151
Remy,500,40,44,19.5429,8,2.0080
ABR,500,40,20,11.7984,118,0.2069
Remy,500,41,43,21.4750,493,1.2670
ABR,500,41,22,12.0419,70,0.0570
Remy,500,42,42,23.4331,0,1.4608
ABR,500,42,21,13.2056,5,0.0460
Remy,500,43,58,31.2435,497,1.0610
ABR,500,43,20,11.8004,217,0.0420
Remy,500,44,41,21.1497,1,1.6699
ABR,500,44,20,11.1218,305,0.0591
Remy,500,45,50,26.2515,499,1.6141
ABR,500,45,18,10.8723,373,0.0560
Remy,500,46,53,29.9880,494,1.9979
ABR,500,46,24,11.6267,40,0.0529
Remy,500,47,40,22.3493,5,1.2569
ABR,500,47,20,11.9202,47,0.0491
Remy,500,48,63,25.4910,0,1.0569
ABR,500,48,19,12.3553,4,0.0410
Remy,500,49,34,19.6008,0,1.7319
ABR,500,49,20,11.7086,149,0.0520
Remy,500,50,40,21.1657,499,1.0588
ABR,500,50,19,11.1457,277,0.0429
Remy,1000,1,60,28.5614,998,4.3910
ABR,1000,1,24,12.9890,701,0.0651
Remy,1000,2,48,24.6633,11,5.4171
ABR,1000,2,24,13.6334,114,0.1049
Remy,1000,3,46,25.7732,993,5.9671
ABR,1000,3,24,13.8382,206,0.0889
Remy,1000,4,53,26.2498,998,5.4328
ABR,1000,4,22,13.0180,841,0.0660
Remy,1000,5,57,29.3167,0,4.5390
ABR,1000,5,27,12.8581,409,0.0629
Remy,1000,6,41,22.2627,975,4.0839
ABR,1000,6,23,13.2288,712,0.0560
Remy,1000,7,46,24.1199,995,4.0751
ABR,1000,7,25,13.7013,460,0.0539
Remy,1000,8,58,31.0739,2,4.0288
ABR,1000,8,22,12.4246,131,0.0532
Remy,1000,9,61,31.0130,4,6.7308
ABR,1000,9,26,13.2058,795,0.1481
Remy,1000,10,62,29.6354,995,7.6559
ABR,1000,10,20,12.5994,136,0.0830
Remy,1000,11,45,25.9820,999,6.8779
ABR,1000,11,24,13.7522,822,0.1049
Remy,1000,12,59,31.6753,0,6.1400
ABR,1000,12,22,13.0030,808,0.0770
Remy,1000,13,58,27.1968,6,5.7068
ABR,1000,13,21,13.5425,79,0.0930
Remy,1000,14,48,25.2438,0,6.3870
ABR,1000,14,22,12.7892,869,0.0880
Remy,1000,15,58,29.7962,999,7.2188
ABR,1000,15,22,13.0280,909,0.1841
Remy,1000,16,60,29.9990,0,8.6610
ABR,1000,16,21,13.2228,297,0.1299
Remy,1000,17,62,28.8042,996,8.6629
ABR,1000,17,24,13.7932,815,0.1988
Remy,1000,18,53,32.1698,995,7.6320
ABR,1000,18,21,13.4935,971,0.1199
Remy,1000,19,51,26.3317,999,9.4769
ABR,1000,19,22,12.4086,878,0.1009
Remy,1000,20,56,29.9670,997,6.2931
ABR,1000,20,23,13.4755,7,0.0741
Remy,1000,21,64,32.4396,999,5.0828
ABR,1000,21,22,12.2138,528,0.0579
Remy,1000,22,52,29.7063,4,4.6899
ABR,1000,22,21,12.4715,741,0.0572
Remy,1000,23,54,25.7712,1,4.0498
ABR,1000,23,26,15.1369,25,0.0541
Remy,1000,24,56,26.3257,997,4.1208
ABR,1000,24,25,12.9241,446,0.0539
Remy,1000,25,56,30.2827,998,4.5321
ABR,1000,25,24,13.8661,58,0.0920
Remy,1000,26,52,27.1948,0,4.1270
ABR,1000,26,23,12.9021,323,0.0529
Remy,1000,27,48,27.6583,0,4.0779
ABR,1000,27,25,13.7532,148,0.0529
Remy,1000,28,41,21.5954,3,4.2391
ABR,1000,28,23,12.8641,344,0.0560
Remy,1000,29,47,26.6983,0,4.4751
ABR,1000,29,24,14.3377,992,0.0570
Remy,1000,30,43,23.8202,999,4.1130
ABR,1000,30,20,12.5684,208,0.0529
Remy,1000,31,47,25.7752,998,4.1571
ABR,1000,31,24,14.0430,136,0.0529
Remy,1000,32,51,27.2727,1,4.8280
ABR,1000,32,23,13.5924,334,0.1070
Remy,1000,33,60,29.6184,0,4.2751
ABR,1000,33,23,13.1129,627,0.0560
Remy,1000,34,46,26.2507,999,4.2050
ABR,1000,34,21,12.7682,642,0.0570
Remy,1000,35,59,34.9131,993,4.8621
ABR,1000,35,22,13.4925,27,0.0780
Remy,1000,36,50,28.3457,999,6.6621
ABR,1000,36,22,12.4605,252,0.0989
Remy,1000,37,61,32.9311,999,7.6032
ABR,1000,37,20,12.2328,741,0.0930
Remy,1000,38,62,39.3097,999,6.5231
ABR,1000,38,20,12.2218,701,0.0782
Remy,1000,39,52,26.5584,0,4.7958
ABR,1000,39,28,14.5325,996,0.0541
Remy,1000,40,52,27.8092,993,4.9498
ABR,1000,40,22,13.0819,999,0.0582
Remy,1000,41,42,25.7552,999,4.5931
ABR,1000,41,24,13.3377,919,0.0598
Remy,1000,42,61,36.6893,2,4.0441
ABR,1000,42,22,12.9830,400,0.0548
Remy,1000,43,50,27.6643,0,4.2200
ABR,1000,43,22,13.1389,7,0.0579
Remy,1000,44,53,29.9141,0,4.1249
ABR,1000,44,21,13.2128,691,0.0739
Remy,1000,45,51,26.0759,0,7.7970
ABR,1000,45,23,13.9550,108,0.0880
Remy,1000,46,57,25.4366,3,9.1550
ABR,1000,46,20,12.5974,188,0.3309
Remy,1000,47,49,26.9640,998,4.4229
ABR,1000,47,19,11.9151,736,0.0570
Remy,1000,48,55,29.9401,0,4.4940
ABR,1000,48,23,13.3227,910,0.0782
Remy,1000,49,55,28.2188,999,4.0379
ABR,1000,49,25,13.1978,246,0.0541
Remy,1000,50,54,28.2048,994,4.8630
ABR,1000,50,22,12.1998,357,0.0660
Remy,2000,1,69,32.8721,1,22.1729
ABR,2000,1,23,14.5577,1948,0.1428
Remy,2000,2,70,35.1759,0,18.0318
ABR,2000,2,26,14.6477,664,0.0939
Remy,2000,3,80,39.7631,1999,17.7441
ABR,2000,3,23,14.4833,360,0.0911
Remy,2000,4,62,35.7906,0,18.3752
ABR,2000,4,24,14.4808,1949,0.2520
Remy,2000,5,60,32.0840,4,19.2909
ABR,2000,5,28,14.0175,1477,0.1001
Remy,2000,6,78,37.3298,5,17.4701
ABR,2000,6,21,13.3778,793,0.0920
Remy,2000,7,62,31.3403,1999,22.6421
ABR,2000,7,22,13.5847,1154,0.1090
Remy,2000,8,54,29.9105,6,23.1402
ABR,2000,8,22,13.4168,1032,0.1040
Remy,2000,9,63,30.9820,0,24.6911
ABR,2000,9,24,14.0765,395,0.1130
Remy,2000,10,56,29.8096,0,22.2461
ABR,2000,10,24,14.0910,471,0.1080
Remy,2000,11,73,35.9005,3,23.1249
